country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Somalia,848k,,,,,969k,,,,,1.01M,,,,,1.06M,,,,,1.6M,,,,,2.01M,,,,,2.03M
Serbia,743k,,,,,914k,,,,,1.13M,,,,,961k,,,,,936k,,,,,827k,,,,,1M
South Sudan,515k,,,,,438k,,,,,343k,,,,,229k,,,,,403k,,,,,1.06M,,,,,2.58M
Sao Tome and Principe,14k,,,,,19.3k,,,,,25.1k,,,,,29.9k,,,,,30.9k,,,,,35.2k,,,,,39.6k
Suriname,178k,,,,,192k,,,,,211k,,,,,249k,,,,,259k,,,,,255k,,,,,273k
Slovak Republic,133k,,,,,192k,,,,,252k,,,,,272k,,,,,261k,,,,,347k,,,,,420k
Slovenia,91.4k,,,,,109k,,,,,119k,,,,,119k,,,,,123k,,,,,137k,,,,,160k
Sweden,206k,,,,,226k,,,,,257k,,,,,268k,,,,,292k,,,,,302k,,,,,328k
Eswatini,35.2k,,,,,30.3k,,,,,34.1k,,,,,44.9k,,,,,69k,,,,,46.2k,,,,,50k
Seychelles,35.6k,,,,,27.8k,,,,,19.2k,,,,,23.5k,,,,,25.9k,,,,,27.5k,,,,,29.3k
Syria,620k,,,,,661k,,,,,707k,,,,,813k,,,,,1.06M,,,,,6.45M,,,,,8.46M
Chad,337k,,,,,223k,,,,,206k,,,,,211k,,,,,202k,,,,,191k,,,,,222k
Togo,194k,,,,,310k,,,,,267k,,,,,406k,,,,,417k,,,,,495k,,,,,545k
Thailand,307k,,,,,412k,,,,,531k,,,,,632k,,,,,769k,,,,,922k,,,,,1.09M
Tajikistan,538k,,,,,555k,,,,,541k,,,,,586k,,,,,585k,,,,,585k,,,,,587k
Turkmenistan,260k,,,,,244k,,,,,224k,,,,,232k,,,,,235k,,,,,239k,,,,,243k
Timor-Leste,11.3k,,,,,79k,,,,,148k,,,,,95k,,,,,35k,,,,,37.3k,,,,,39.6k
Tonga,32.7k,,,,,38.2k,,,,,46.4k,,,,,48.3k,,,,,51.5k,,,,,59.2k,,,,,74.5k
Trinidad and Tobago,197k,,,,,251k,,,,,308k,,,,,323k,,,,,351k,,,,,369k,,,,,331k
Tunisia,466k,,,,,477k,,,,,487k,,,,,579k,,,,,616k,,,,,774k,,,,,902k
Turkey,2.51M,,,,,2.77M,,,,,2.85M,,,,,2.58M,,,,,2.71M,,,,,3.07M,,,,,3.41M
